Subject,Trial,Gain,Loss,GainOnLeft,Fontsize,Choice,RT,AcceptKey,EV
3,18,7,5,0,0,0,0.979078800068237,2,1
3,19,4,9,1,1,0,1.04472290002741,2,-2.5
3,20,5,7,1,0,0,0.748735000030138,2,-1
3,21,8,7,0,1,0,1.07792259997223,2,0.5
3,22,8,7,0,0,0,0.854888899950311,2,0.5
3,23,6,8,1,0,0,0.816018400015309,2,-1
3,24,7,6,1,1,0,0.817939900094643,2,0.5
3,25,6,7,0,0,0,0.751512499991804,2,-0.5
3,26,8,3,0,1,1,1.53282379999291,2,2.5
3,27,4,5,0,0,0,0.642854699981399,2,-0.5
3,28,7,9,1,1,0,1.24055370001588,2,-1
3,29,5,8,1,0,0,0.742775699938647,2,-1.5
3,30,6,5,0,1,0,0.605154399992898,2,0.5
3,31,7,6,1,0,0,0.506511499988846,2,0.5
3,32,7,3,1,1,1,1.63306390005164,2,2
3,33,6,6,0,1,0,0.887417700025253,2,0
3,34,7,8,1,0,0,0.781625100062229,2,-0.5
3,35,8,5,1,1,0,1.5270320000127,2,1.5
3,36,6,4,1,0,0,0.647781500010751,2,1
3,37,3,3,1,1,0,0.589707100065425,2,0
3,38,8,6,1,0,0,0.928662699996494,2,1
3,39,9,8,0,1,0,0.991795900044963,2,0.5
3,40,9,5,0,1,0,1.06408219994046,2,2
3,41,8,5,1,0,0,2.05031660001259,2,1.5
3,42,6,8,1,1,0,0.62212830001954,2,-1
3,43,9,8,0,0,0,0.699843400041573,2,0.5
3,44,4,6,0,1,0,0.585325699998066,2,-1
3,45,7,7,1,0,0,0.63376330002211,2,0
3,46,6,9,0,0,0,1.08311669994146,2,-1.5
3,47,4,8,1,0,0,0.636201699962839,2,-2
3,48,4,9,1,0,0,1.14971270004753,2,-2.5
3,49,3,7,0,0,0,0.969428600044921,2,-2
3,50,6,3,0,1,0,1.16789949999657,2,1.5
3,51,3,6,0,1,0,0.867842099978589,2,-1.5
3,52,9,9,1,0,0,0.802176899975166,2,0
3,53,8,4,1,1,0,2.51100719999522,2,2
3,54,4,3,1,0,0,0.713040999951772,2,0.5
3,55,4,5,0,1,0,0.545913600013591,2,-0.5
3,56,4,3,1,1,0,0.55542680004146,2,0.5
3,57,4,7,1,1,0,0.745080400025472,2,-1.5
3,58,5,9,1,0,0,0.673662799992599,2,-2
3,59,9,4,0,1,1,4.59606440004427,2,2.5
3,60,8,3,0,0,1,1.85668890003581,2,2.5
3,61,5,4,1,0,0,0.666110999998637,2,0.5
3,62,7,4,0,1,0,0.910883400007151,2,1.5
3,63,9,6,1,1,0,0.871408100007102,2,1.5
3,64,3,5,1,1,0,0.54388759995345,2,-1
3,65,5,8,1,1,0,0.531998099992052,2,-1.5
3,66,6,4,1,1,0,0.742085300036706,2,1
